iter	RMSE
0	2911.727008
1	2900.581796
2	2889.681849
3	2878.76791
4	2868.150339
5	2857.540942
6	2847.229785
7	2836.985378
8	2826.831227
9	2816.827386
10	2806.886191
11	2797.206658
12	2787.810116
13	2778.418736
14	2769.073154
15	2759.881935
16	2750.848787
17	2741.826276
18	2732.790201
19	2724.203942
20	2715.645256
21	2707.055421
22	2698.526964
23	2690.258782
24	2682.066358
25	2674.142674
26	2666.171664
27	2658.25227
28	2650.516475
29	2642.793706
30	2635.419485
31	2627.964722
32	2620.74875
33	2613.478577
34	2606.395527
35	2599.56618
36	2592.630667
37	2585.742427
38	2578.940524
39	2572.338617
40	2565.656429
41	2559.196282
42	2553.101856
43	2546.854862
44	2540.645014
45	2534.390938
46	2528.388126
47	2522.490101
48	2516.591557
49	2510.74699
50	2504.955378
51	2499.248645
52	2493.567583
53	2488.119714
54	2482.700052
55	2477.215051
56	2471.855584
57	2466.531077
58	2461.251785
59	2456.257313
60	2451.141214
61	2446.188812
62	2441.108418
63	2436.322799
64	2431.64645
65	2426.939503
66	2422.300417
67	2417.644004
68	2413.053932
69	2408.582123
70	2404.110807
71	2400.010604
72	2395.702769
73	2391.374002
74	2387.231197
75	2383.280969
76	2379.205734
77	2375.156626
78	2371.108537
79	2367.127771
80	2363.260924
81	2359.417388
82	2355.515322
83	2351.769311
84	2348.136665
85	2344.533863
86	2340.860847
87	2337.219373
88	2333.609675
89	2330.042352
90	2326.653974
91	2323.375524
92	2319.917318
93	2316.703008
94	2313.403676
95	2310.177715
96	2306.818116
97	2303.540301
98	2300.397567
99	2297.336017
100	2294.273111
101	2291.175126
102	2288.128785
103	2285.275388
104	2282.350796
105	2279.43099
106	2276.537816
107	2273.589284
108	2270.789516
109	2268.033732
110	2265.251108
111	2262.558731
112	2259.81808
113	2257.003086
114	2254.544479
115	2252.040607
116	2249.405379
117	2246.84413
118	2244.163927
119	2241.666923
120	2239.213626
121	2236.821315
122	2234.286722
123	2231.802346
124	2229.484795
125	2227.143644
126	2224.879242
127	2222.570951
128	2220.159125
129	2217.964458
130	2215.832335
131	2213.600486
132	2211.351193
133	2209.408136
134	2207.333649
135	2205.008034
136	2202.849574
137	2200.855013
138	2198.657981
139	2196.59892
140	2194.589603
141	2192.5907
142	2190.739145
143	2188.682467
144	2186.678519
145	2184.813455
146	2182.832419
147	2181.022017
148	2179.057093
149	2177.178074
150	2175.382556
151	2173.58718
152	2171.682963
153	2169.800582
154	2168.122356
155	2166.373152
156	2164.593399
157	2162.945914
158	2161.17744
159	2159.524107
160	2157.82309
161	2156.222033
162	2154.500872
163	2152.94689
164	2151.29024
165	2149.69197
166	2147.955465
167	2146.406707
168	2144.772812
169	2143.130765
170	2141.600916
171	2139.936068
172	2138.392757
173	2136.9912
174	2135.547828
175	2133.986768
176	2132.482767
177	2131.053002
178	2129.62462
179	2128.117939
180	2126.61295
181	2124.999445
182	2123.696867
183	2122.427479
184	2121.039345
