iter	Passed	Remaining
406	6450	9398
407	6471	9389
408	6486	9372
409	6499	9353
410	6515	9337
411	6531	9321
412	6547	9305
413	6560	9286
414	6577	9271
415	6591	9253
416	6607	9237
417	6623	9221
418	6639	9207
419	6655	9190
420	6670	9174
421	6689	9162
422	6707	9148
423	6723	9134
424	6738	9117
425	6754	9101
426	6769	9084
427	6785	9067
428	6801	9052
429	6818	9038
430	6832	9020
431	6848	9004
432	6862	8985
433	6880	8973
434	6896	8957
435	6911	8940
436	6927	8924
437	6942	8908
438	6958	8891
439	6973	8874
440	6988	8858
441	7002	8840
442	7016	8821
443	7030	8803
444	7042	8783
445	7056	8765
446	7070	8747
447	7084	8729
448	7097	8710
449	7111	8691
450	7123	8671
451	7135	8651
452	7148	8631
453	7161	8613
454	7176	8595
455	7189	8576
456	7203	8558
457	7218	8541
458	7230	8522
459	7245	8505
460	7258	8486
461	7272	8469
462	7286	8450
463	7301	8434
464	7314	8415
465	7327	8397
466	7343	8381
467	7359	8365
468	7375	8350
469	7388	8331
470	7403	8315
471	7417	8297
472	7431	8280
473	7446	8263
474	7460	8245
475	7476	8230
476	7491	8213
477	7504	8195
478	7517	8176
479	7530	8157
480	7543	8139
481	7555	8119
482	7569	8102
483	7582	8083
484	7595	8064
485	7609	8047
486	7622	8029
487	7634	8010
488	7648	7992
489	7660	7973
490	7674	7955
491	7689	7939
492	7704	7922
493	7717	7905
494	7733	7889
495	7745	7870
496	7759	7852
497	7773	7835
498	7786	7817
499	7798	7798
500	7810	7779
501	7823	7760
502	7836	7742
503	7849	7724
504	7863	7707
505	7878	7691
506	7895	7677
507	7909	7660
508	7922	7642
509	7935	7624
510	7947	7605
511	7960	7587
512	7973	7569
513	7985	7550
514	7998	7532
515	8013	7516
516	8026	7498
517	8039	7480
518	8052	7463
519	8065	7445
520	8080	7428
521	8093	7411
522	8106	7393
523	8119	7375
524	8132	7358
525	8144	7339
526	8157	7321
527	8169	7303
528	8181	7284
529	8194	7266
530	8208	7249
531	8220	7231
532	8232	7213
533	8245	7195
534	8258	7178
535	8275	7164
536	8290	7148
537	8304	7131
538	8319	7115
539	8336	7101
540	8354	7088
541	8375	7077
542	8396	7066
543	8414	7053
544	8430	7038
545	8447	7024
546	8462	7008
547	8477	6992
548	8491	6975
549	8505	6958
550	8520	6942
551	8535	6926
552	8550	6911
553	8564	6894
554	8577	6877
555	8590	6860
556	8603	6842
557	8618	6826
558	8631	6809
559	8645	6792
560	8658	6775
561	8672	6758
562	8687	6743
563	8703	6728
564	8716	6710
565	8728	6692
566	8741	6675
567	8753	6657
568	8768	6641
569	8780	6623
570	8793	6606
571	8806	6589
572	8819	6572
573	8833	6555
574	8847	6539
575	8860	6522
576	8873	6505
577	8887	6488
578	8899	6471
579	8912	6453
580	8924	6436
581	8937	6418
582	8950	6401
583	8963	6384
584	8975	6367
585	8987	6349
586	9000	6332
587	9014	6315
588	9027	6299
589	9042	6283
590	9055	6267
591	9067	6249
592	9081	6232
593	9094	6216
594	9106	6198
595	9119	6181
596	9133	6165
597	9146	6148
598	9160	6132
599	9174	6116
600	9187	6099
601	9199	6082
602	9213	6065
603	9225	6048
604	9239	6032
605	9252	6015
606	9265	5998
607	9279	5983
608	9295	5967
609	9308	5951
610	9324	5936
611	9340	5921
612	9359	5908
613	9375	5894
614	9390	5878
615	9404	5862
616	9419	5846
617	9433	5831
618	9448	5815
619	9461	5799
620	9474	5782
621	9489	5767
622	9502	5750
623	9517	5734
624	9529	5717
625	9541	5700
626	9553	5683
627	9566	5666
628	9580	5650
629	9592	5633
630	9606	5617
631	9621	5602
632	9634	5585
633	9647	5569
634	9661	5553
635	9675	5537
636	9689	5521
637	9705	5506
638	9717	5489
639	9729	5472
640	9742	5456
641	9755	5439
642	9768	5423
643	9780	5406
644	9794	5390
645	9807	5374
646	9818	5356
647	9833	5341
648	9846	5325
649	9860	5309
650	9872	5292
651	9886	5276
652	9899	5260
653	9911	5243
654	9925	5227
655	9938	5211
656	9949	5194
657	9962	5177
658	9975	5161
659	9987	5144
660	10000	5128
661	10013	5112
662	10026	5096
663	10038	5079
664	10053	5064
665	10065	5047
666	10083	5034
667	10095	5017
668	10109	5001
669	10122	4985
670	10134	4969
671	10148	4953
672	10160	4936
673	10173	4920
674	10187	4904
675	10199	4888
676	10212	4872
677	10225	4856
678	10238	4840
679	10253	4825
680	10268	4810
681	10283	4794
682	10296	4778
683	10310	4763
684	10324	4747
685	10343	4734
686	10359	4719
687	10374	4704
688	10387	4688
689	10401	4673
690	10416	4657
691	10430	4642
692	10444	4627
693	10459	4611
694	10472	4595
695	10486	4580
696	10499	4564
697	10512	4548
698	10527	4533
699	10539	4516
700	10552	4501
701	10565	4485
702	10578	4469
703	10592	4453
704	10604	4437
705	10617	4421
706	10630	4405
707	10643	4389
708	10657	4374
709	10673	4359
710	10688	4344
711	10703	4329
712	10715	4313
713	10727	4297
714	10740	4281
715	10754	4265
716	10767	4250
717	10781	4234
718	10794	4218
719	10806	4202
720	10820	4186
721	10832	4171
722	10845	4155
723	10858	4139
724	10871	4123
725	10883	4107
726	10896	4091
727	10909	4076
728	10922	4060
729	10936	4044
730	10948	4029
731	10962	4013
732	10974	3997
733	10988	3982
734	11002	3966
735	11016	3951
736	11030	3936
737	11044	3920
738	11056	3905
739	11070	3889
740	11083	3874
741	11097	3858
742	11110	3843
743	11123	3827
744	11137	3812
745	11151	3796
746	11164	3781
747	11178	3765
748	11189	3749
749	11202	3734
750	11215	3718
751	11229	3703
752	11244	3688
753	11260	3673
754	11274	3658
755	11289	3643
756	11304	3628
757	11320	3614
758	11337	3599
759	11353	3585
760	11370	3570
761	11383	3555
762	11397	3540
763	11412	3525
764	11425	3509
765	11439	3494
766	11452	3479
767	11465	3463
768	11479	3448
769	11492	3432
770	11506	3417
771	11518	3401
772	11531	3386
773	11544	3370
774	11556	3355
775	11569	3339
776	11581	3323
777	11593	3308
778	11605	3292
779	11618	3277
780	11632	3261
781	11644	3246
782	11659	3231
783	11674	3216
784	11689	3201
785	11704	3186
786	11717	3171
787	11732	3156
788	11749	3142
789	11765	3127
790	11780	3112
791	11793	3097
792	11808	3082
793	11825	3067
794	11841	3053
795	11856	3038
796	11871	3023
797	11887	3009
798	11903	2994
799	11917	2979
800	11931	2964
801	11945	2949
802	11958	2933
803	11973	2919
804	11987	2903
805	12000	2888
806	12016	2873
807	12031	2858
808	12043	2843
809	12055	2827
810	12077	2814
811	12089	2799
812	12102	2783
813	12115	2768
814	12128	2753
815	12140	2737
816	12154	2722
817	12167	2707
818	12181	2692
819	12194	2676
820	12207	2661
821	12221	2646
822	12236	2631
823	12250	2616
824	12266	2601
825	12280	2586
826	12295	2572
827	12312	2557
828	12329	2543
829	12345	2528
830	12359	2513
831	12373	2498
832	12386	2483
833	12401	2468
834	12413	2452
835	12427	2437
836	12441	2422
837	12454	2407
838	12468	2392
839	12482	2377
840	12496	2362
841	12511	2347
842	12522	2332
843	12535	2316
844	12547	2301
845	12559	2286
846	12573	2271
847	12585	2255
848	12598	2240
849	12611	2225
850	12625	2210
851	12639	2195
852	12654	2180
853	12669	2165
854	12684	2151
855	12697	2136
856	12711	2121
857	12724	2105
858	12737	2090
859	12750	2075
860	12765	2060
861	12779	2045
862	12792	2030
863	12809	2016
864	12823	2001
865	12837	1986
866	12850	1971
867	12865	1956
868	12877	1941
869	12889	1926
870	12902	1910
871	12915	1895
872	12926	1880
873	12939	1865
874	12953	1850
875	12965	1835
876	12979	1820
877	12994	1805
878	13009	1790
879	13023	1775
880	13036	1760
881	13050	1745
882	13063	1730
883	13076	1715
884	13089	1700
885	13102	1685
886	13114	1670
887	13128	1655
888	13141	1640
889	13155	1625
890	13169	1611
891	13182	1596
892	13197	1581
893	13211	1566
894	13226	1551
895	13240	1536
896	13255	1522
897	13270	1507
898	13287	1492
899	13304	1478
900	13323	1463
901	13340	1449
902	13357	1434
903	13374	1420
904	13390	1405
905	13404	1390
906	13419	1376
907	13435	1361
908	13449	1346
909	13465	1331
910	13479	1316
911	13494	1302
912	13508	1287
913	13524	1272
914	13538	1257
915	13553	1242
916	13565	1227
917	13577	1212
918	13590	1197
919	13605	1183
920	13616	1168
921	13630	1153
922	13646	1138
923	13662	1123
924	13677	1108
925	13691	1094
926	13704	1079
927	13717	1064
928	13730	1049
929	13745	1034
930	13756	1019
931	13769	1004
932	13782	989
933	13795	974
934	13808	959
935	13820	945
936	13833	930
937	13847	915
938	13858	900
939	13870	885
940	13884	870
941	13897	855
942	13912	840
943	13925	826
944	13937	811
945	13950	796
946	13963	781
947	13976	766
948	13988	751
949	14003	737
950	14019	722
951	14032	707
952	14045	692
953	14057	677
954	14071	663
955	14085	648
956	14096	633
957	14109	618
958	14123	603
959	14137	589
960	14150	574
961	14162	559
962	14175	544
963	14187	529
964	14199	515
965	14214	500
966	14237	485
967	14252	471
968	14266	456
969	14279	441
970	14295	426
971	14312	412
972	14327	397
973	14340	382
974	14354	368
975	14366	353
976	14379	338
977	14392	323
978	14407	309
979	14421	294
980	14435	279
981	14448	264
982	14461	250
983	14474	235
984	14486	220
985	14500	205
986	14513	191
987	14526	176
988	14539	161
989	14552	146
990	14565	132
991	14578	117
992	14590	102
993	14603	88
994	14616	73
995	14630	58
996	14648	44
997	14661	29
998	14675	14
999	14688	0
